name,lat,lon,region,region_raw,category,type_raw,point_kind,confidence,source
אתר ההנצחה לשיירת יחיעם,32.99405,35.1356417,north,צפון,heritage,טיול / נקודת עניין,נקודת אתר,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
בית צידה,32.90995,35.63053611,north,צפון,archaeology,טיול / נקודת עניין,אתר ארכאולוגי,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
דרך נוף הרי נפתלי,33.239029,35.572164,north,צפון,nature,דרך נוף / טיול רכב,נקודה על המסלול,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
האלה של רבי טרפון בקדיתא,33.00341,35.47194,north,צפון,nature,טיול / נקודת עניין,נקודת אתר,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
הר הקפיצה: טיול בשביל הבשורה,32.682795,35.307366,north,צפון,mountains,מסלול הליכה,נקודת אתר,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
חורבת דנעילה בגליל המערבי,33.066136,35.246218,north,צפון,archaeology,טיול / נקודת עניין,אתר ארכאולוגי,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
אגמון החולה,33.103195,35.6076923,north,צפון,water,טיול / נקודת עניין,נקודת אתר,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
הגן הבוטני באגמון החולה קק״ל,33.109796,35.590411,north,צפון,water,טיול / נקודת עניין,נקודת אתר,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
הר ברניקי,32.7756,35.5394,north,צפון,mountains,טיול / נקודת עניין,פסגת הר,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
חוף אכזיב,33.042963,35.099173,north,צפון,water,טיול / נקודת עניין,נקודת אתר / חוף,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
יער גבעת המורה,32.60751,35.37624,north,צפון,mountains,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
יער לביא,32.77671,35.42174,north,צפון,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
דרך בורמה,31.8137001,34.9722548,center,מרכז / ירושלים והשפלה,nature,דרך נוף / טיול רכב,נקודה מייצגת למסלול,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
דרך הפסלים ביער צרעה (יער הנשיא),31.772725,34.974461,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,נקודת אתר / דרך נוף,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
ההר העגול ביער אלונה,32.5645,35.03159,center,מרכז / ירושלים והשפלה,viewpoints,יער / מסלול,נקודת אתר / פסגה,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
חורבת בורגין בפארק עדולם-צרפת,31.63607,34.96877,center,מרכז / ירושלים והשפלה,archaeology,טיול / נקודת עניין,אתר ארכאולוגי,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
חורבת חנות,31.7115222,35.0463444,center,מרכז / ירושלים והשפלה,archaeology,טיול / נקודת עניין,אתר ארכאולוגי,גבוהה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
