name,category,region,confidence,map_link
"אתר ההנצחה לשיירת יחיעם","heritage","north","גבוהה","https://www.google.com/maps?q=32.99405,35.1356417"
"דרך נוף הרי נפתלי","nature","north","גבוהה","https://www.google.com/maps?q=33.239029,35.572164"
"האלה של רבי טרפון בקדיתא","nature","north","גבוהה","https://www.google.com/maps?q=33.00341,35.47194"
"הר הקפיצה: טיול בשביל הבשורה","mountains","north","גבוהה","https://www.google.com/maps?q=32.682795,35.307366"
"אגמון החולה","water","north","גבוהה","https://www.google.com/maps?q=33.103195,35.6076923"
"הגן הבוטני באגמון החולה קק״ל","water","north","גבוהה","https://www.google.com/maps?q=33.109796,35.590411"
"הר ברניקי","mountains","north","גבוהה","https://www.google.com/maps?q=32.7756,35.5394"
"חוף אכזיב","water","north","גבוהה","https://www.google.com/maps?q=33.042963,35.099173"
"יער גבעת המורה","mountains","north","גבוהה","https://www.google.com/maps?q=32.60751,35.37624"
"יער לביא","nature","north","גבוהה","https://www.google.com/maps?q=32.77671,35.42174"
"דרך בורמה","nature","center","גבוהה","https://www.google.com/maps?q=31.8137001,34.9722548"
"דרך הפסלים ביער צרעה (יער הנשיא)","nature","center","גבוהה","https://www.google.com/maps?q=31.772725,34.974461"
"ההר העגול ביער אלונה","viewpoints","center","גבוהה","https://www.google.com/maps?q=32.5645,35.03159"
"חורבת בורגין בפארק עדולם-צרפת","archaeology","center","גבוהה","https://www.google.com/maps?q=31.63607,34.96877"
"חורבת חנות","archaeology","center","גבוהה","https://www.google.com/maps?q=31.7115222,35.0463444"
"חורבת עתרי","archaeology","center","גבוהה","https://www.google.com/maps?q=31.649472,34.972007"
"יער המגינים","nature","center","גבוהה","https://www.google.com/maps?q=31.8397222,34.9280556"
"יער חדרה","nature","center","גבוהה","https://www.google.com/maps?q=32.42778,34.895"
"פארק יער שהם","nature","center","גבוהה","https://www.google.com/maps?q=31.99722,34.95944"
"יער אשתאול","nature","center","גבוהה","https://www.google.com/maps?q=31.805562,34.9957289"
"יער בן שמן","nature","center","גבוהה","https://www.google.com/maps?q=31.9488889,34.9561111"
"יער עמינדב","nature","center","גבוהה","https://www.google.com/maps?q=31.740939,35.138146"
"דרך נוף פארק בריטניה","nature","center","בינונית","https://www.google.com/maps?q=31.700713756956883,34.93171691894531"
"יער אילנות","nature","center","גבוהה","https://www.google.com/maps?q=32.29291,34.900517"
"יער חורשים","nature","center","גבוהה","https://www.google.com/maps?q=32.1427778,34.9841667"
"יער קדימה","nature","center","גבוהה","https://www.google.com/maps?q=32.28798,34.927283"
"תל חדיד שביער בן שמן","archaeology","center","גבוהה","https://www.google.com/maps?q=31.9669444444,34.9527777778"
"יד אנה פרנק ביער הקדושים","heritage","center","גבוהה","https://www.google.com/maps?q=31.778002,35.029938"
"יער הרצל חולדה","nature","center","גבוהה","https://www.google.com/maps?q=31.8229833,34.893464"
"יער חרובית","nature","center","בינונית","https://www.google.com/maps?q=31.85496306,34.85240656"
"יער ראש העין","nature","center","גבוהה","https://www.google.com/maps?q=32.0995587,34.978718"
"פארק בגין","nature","center","גבוהה","https://www.google.com/maps?q=31.722911,35.110502"
"מרכז צפרות יער ראש ציפור","nature","center","גבוהה","https://www.google.com/maps?q=32.09451,34.80491"
"נווה אילן הישנה ויער המכללות","heritage","center","גבוהה","https://www.google.com/maps?q=31.808850199764127,35.08226074809324"
"נחל אלכסנדר","water","center","בינונית","https://www.google.com/maps?q=32.39613330537673,34.865702390670776"
"עין נקופה ויער הסתדרות המורים","water","center","גבוהה","https://www.google.com/maps?q=31.808983259334,35.143032073975"
"פארק שלולית החורף בנתניה","nature","center","גבוהה","https://www.google.com/maps?q=32.2906436,34.8433572"
"תל עדולם","viewpoints","center","גבוהה","https://www.google.com/maps?q=31.65033,35.0028"
"אגם מים בפארק יצחק נבון ירוחם","nature","south","גבוהה","https://www.google.com/maps?q=30.988861,34.902722"
"באר צקלג שביער להב","nature","south","גבוהה","https://www.google.com/maps?q=31.38967,34.85325"
"חניון הרועה","nature","south","גבוהה","https://www.google.com/maps?q=30.8755,34.78593"
"פארק תמנע","nature","south","בינונית","https://www.google.com/maps?q=29.77333,34.97639"
"בארות יצחק הישנה","heritage","south","גבוהה","https://www.google.com/maps?q=31.46086,34.50034"
"פארק אופקים","nature","south","גבוהה","https://www.google.com/maps?q=31.30761,34.6348"
"יער המלאכים-שחריה","nature","south","גבוהה","https://www.google.com/maps?q=31.5938025,34.8266995"
"יער יתיר","nature","south","בינונית","https://www.google.com/maps?q=31.3333,35.05"
"שמורת טבע תל דן","reserves","north","גבוהה","https://www.google.com/maps?q=33.2421211,35.6454181"
"יער בית קשת","nature","north","גבוהה","https://www.google.com/maps?q=32.7363889,35.3838889"
"עין מבוע","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.76,35.32"
"עין קלט","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.84,35.41"
"יער להב","nature","south","גבוהה","https://www.google.com/maps?q=31.3758333,34.8527778"
"מצפור הר אבנון","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.9715,34.9825"
"גן לאומי ממשית","parks","south","גבוהה","https://www.google.com/maps?q=31.0240184,35.0648415"
"עין תינה","water","north","גבוהה","https://www.google.com/maps?q=33.235,35.65"
"שמורת טבע חוף האלמוגים","reserves","south","גבוהה","https://www.google.com/maps?q=29.5072117,34.9202831"
"גן לאומי גן השלושה","parks","north","גבוהה","https://www.google.com/maps?q=32.4833,35.4167"
"גן לאומי קיסריה","parks","north","גבוהה","https://www.google.com/maps?q=32.498858,34.898751"
"מצפה כנרת מנדל","viewpoints","north","גבוהה","https://www.google.com/maps?q=32.7,35.6462"
"מצפה בניה בהרי נפתלי","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.2479,35.5515"
"עין נון","water","north","גבוהה","https://www.google.com/maps?q=32.868,35.553"
"עין מודע","water","north","גבוהה","https://www.google.com/maps?q=32.49,35.405"
"עין שוקק","water","north","גבוהה","https://www.google.com/maps?q=32.478,35.414"
"עין סטף","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.765,35.118"
"עין לבן","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.748,35.179"
"עין חניה","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.73,35.16"
"עין ספיר","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.742,35.172"
"עין קובי","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.762,35.168"
"עין פרת","water","deadsea","גבוהה","https://www.google.com/maps?q=31.82,35.3"
"עינות צוקים","water","deadsea","גבוהה","https://www.google.com/maps?q=31.71,35.45"
"עין בוקק","water","deadsea","גבוהה","https://www.google.com/maps?q=31.2,35.36"
"עין עקב","water","south","גבוהה","https://www.google.com/maps?q=30.87,34.85"
"עין זיק","water","south","גבוהה","https://www.google.com/maps?q=30.95,34.82"
"עין שביב","water","south","גבוהה","https://www.google.com/maps?q=30.8,34.8"
"עין ירקעם","water","south","גבוהה","https://www.google.com/maps?q=30.92,34.98"
"עין נטפים","water","eilat","גבוהה","https://www.google.com/maps?q=29.634,34.953"
"קרן נפתלי","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.0898,35.5649"
"מצפה אופיר","viewpoints","north","גבוהה","https://www.google.com/maps?q=32.8148,35.6627"
"מצפה גדות","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.0135,35.6414"
"מצפור ויניה","viewpoints","north","גבוהה","https://www.google.com/maps?q=32.5231,35.3876"
"מצפור הר אדיר","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.0336,35.3698"
"מצפור מונפור","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.0466554,35.2223152"
"מצפור המוחרקה","viewpoints","north","גבוהה","https://www.google.com/maps?q=32.65,35.071389"
"תל חדיד","viewpoints","center","גבוהה","https://www.google.com/maps?q=31.9642,34.9508"
"מצפה הראל","viewpoints","center","גבוהה","https://www.google.com/maps?q=31.8077,34.9642"
"מצפור שער הגיא","viewpoints","jerusalem","גבוהה","https://www.google.com/maps?q=31.815,35.0188"
"מצפור מואב","viewpoints","south","גבוהה","https://www.google.com/maps?q=31.2606,35.2422"
"מצפה מעלה עלי","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.9459,35.1593"
"מצפור ערוד","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.4969,34.6469"
"הר גמל","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.6029,34.7966"
"מצפור שי נחל הבשור","viewpoints","south","גבוהה","https://www.google.com/maps?q=31.3463,34.4711"
"הר רם","mountains","north","גבוהה","https://www.google.com/maps?q=33.245772,35.787547"
"הר כרמים","mountains","north","גבוהה","https://www.google.com/maps?q=33.218933,35.777842"
"הר אודם","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.1987,35.7542"
"הר בראון","mountains","north","גבוהה","https://www.google.com/maps?q=33.158868,35.778213"
"הר אביטל","mountains","north","גבוהה","https://www.google.com/maps?q=33.10816126,35.79455909"
"הר פרס","mountains","north","גבוהה","https://www.google.com/maps?q=32.960276,35.864804"
"הר שיפון","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.0693,35.7691"
"הר סנאים","mountains","north","גבוהה","https://www.google.com/maps?q=33.271697,35.721566"
"נחל חרמון","water","north","גבוהה","https://www.google.com/maps?q=33.213157,35.629298"
"נחל אל על","water","north","גבוהה","https://www.google.com/maps?q=32.805,35.753"
"נחל יהודיה","water","north","גבוהה","https://www.google.com/maps?q=32.86,35.69"
"נחל זוויתן","water","north","גבוהה","https://www.google.com/maps?q=32.82,35.735"
"מפל בניאס","water","north","גבוהה","https://www.google.com/maps?q=33.237,35.677"
"בריכת המשושים","water","north","גבוהה","https://www.google.com/maps?q=32.833,35.705"
"מצפה קוניטרה","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.1085,35.8008"
"מצפה נמרוד","viewpoints","north","גבוהה","https://www.google.com/maps?q=32.9718,35.5336"
"מצפור בית ציידא","viewpoints","north","גבוהה","https://www.google.com/maps?q=32.8887,35.6926"
"מצפור גולני","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.2249,35.6901"
