name,already_on_map_as,metres_apart
"בית צידה","תל בית ציידא","102"
"חורבת דנעילה בגליל המערבי","נחל שרך ונחל בצת","133"
"מרכז המבקרים באילנות","יער אילנות","52"
"עזקה: עיר מבצר בגבול יהודה","תל עזקה","114"
"פארק אשכול (גן לאומי הבשור)","נחל הבשור ופארק אשכול","145"
"מצפה משואה","ממצפה משואה לתל גודד","6"
"מצפה אבנון","מצפור הר אבנון","0"
"מצפה השלום","מעיין מצפה השלום","98"
"מצפור עמק הבכא","אנדרטת גדוד 77 - עמק הבכא","112"
"מצפור קרן נפתלי","קרן נפתלי","0"
"מצפור הר ברקן","בעקבות אירוס הגלבוע להר ברקן","145"
"עין נקופה","עין נקופה ויער הסתדרות המורים","16"
"חורבת בורגין","חורבת בורגין בפארק עדולם-צרפת","0"
"מערת הנטיפים","מערת הנטיפים (אבשלום)","74"
"מערת התאומים","מערת התאומים ונחל המערה","78"
"נמל יפו","טיילת יפו","36"
"נמל קיסריה","קיסריה","97"
"מתחם התחנה ירושלים","המושבה הגרמנית בירושלים","30"
"קיסריה העתיקה","קיסריה","101"
"חוף האלמוגים","שמורת טבע חוף האלמוגים","2"
