name,nearest_existing,metres_apart,map_link
"אנדרטת חץ שחור","מסעד לבארי: פריחה בצפון הנגב","174","https://www.google.com/maps?q=31.5069178,34.5526135"
"שמורת טבע נחל עמוד","נחל עמוד עליון: מסלול מעגלי","284","https://www.google.com/maps?q=32.9731393,35.4625321"
"שמורת טבע עין אפק","שמורת טבע עין אפק","257","https://www.google.com/maps?q=32.8456606,35.1124623"
"מצפור טופז","מערת קשת ומערת נמר","203","https://www.google.com/maps?q=33.0769,35.196"
"מצפור הצוק פארק הכרמל","שוויצריה הקטנה: מסלול משפחות מעגלי","231","https://www.google.com/maps?q=32.7437,35.0256"
"תל מגידו","גן לאומי תל מגידו","217","https://www.google.com/maps?q=32.58527401,35.18436781"
"מצפור חוף השרון","שמורת חוף השרון","280","https://www.google.com/maps?q=32.2187,34.8161"
"פארק אריאל שרון","פארק אריאל שרון","269","https://www.google.com/maps?q=32.028,34.8215"
"הר טייסים","שמורת הר הטייסים","152","https://www.google.com/maps?q=31.773072,35.090605"
"חורבת סעדים","עין סעדים","295","https://www.google.com/maps?q=31.751953,35.129163"
"פארק המסילה תל אביב","טיול ברמת אביב - בין מרכז רבין לגן קארטר","224","https://www.google.com/maps?q=32.0592,34.7675"
"שרונה תל אביב","שרונה - המושבה הטמפלרית בתל אביב","206","https://www.google.com/maps?q=32.0715,34.788"
"יפו העתיקה","טיילת יפו","265","https://www.google.com/maps?q=32.0543,34.7522"
"עין שולמית","נחל דוד","292","https://www.google.com/maps?q=31.468,35.392"
"חוף המגדלור","חוף האלמוגים אילת","217","https://www.google.com/maps?q=29.505,34.9178"
