id,name,description,category,difficulty,region,lat,lon,duration,distance_km,base_visits,family_friendly,dog_friendly,accessible,has_water,price_type,season,duration_hours,official_url
tiuli-287,אבו כביר –מסלול עירוני המשלב טבע,"יעד טיול בטבע פתוח במרכז הארץ — מסלול באורך כ-2.5 ק""מ, רמת קושי קלה.",nature,easy,center,32.0480689,34.7691394999999,כחצי שעה,2.5,605,false,false,false,false,free,,,
lm-35d07a86,אגם מים בפארק יצחק נבון ירוחם,אגם מים בפארק יצחק נבון ירוחם — טיול / נקודת עניין באזור דרום / נגב וערבה,nature,easy,south,30.988861,34.902722,,0,0,true,false,false,false,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
agmon-hula,אגמון החולה,"אתר-ביקורים פעיל בלב עמק החולה, המציע צפייה מקרוב במיליוני עופות נודדים (בעיקר עגורים) העוברים בו כל חורף - סיורי רכבי-גולף, אופניים והליכה לאורך בריכות ומצפורים.",nature,easy,north,33.1108438,35.5860665,שעתיים-שלוש,3,200,true,false,true,true,paid,,2.5,
lm-adaf56f5,אגמון החולה,אגמון החולה — טיול / נקודת עניין באזור צפון,water,easy,north,33.103195,35.6076923,,0,0,true,false,false,true,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
tiuli-111,אדמונית החורש בהר הלל,"מסלול טיול במסלול הררי, בצפון הארץ, באורך כ-4 ק""מ ברמת קושי בינונית.",mountains,medium,north,32.9634,35.4201,כשעה,4,1337,false,false,false,false,free,,,
tiuli-37,אירוס הארגמן בגבעת חומרה,"טיול במסלול הררי במרכז הארץ, באורך של כ-1 ק""מ ברמת קושי קלה.",mountains,easy,center,31.9356,34.745,כחצי שעה,1,2557,false,false,false,false,free,,,
tiuli-126,אלוני אבא ובית לחם הגלילית,"מסלול טיול בטבע פתוח, בצפון הארץ, באורך כ-2 ק""מ ברמת קושי קלה.",nature,easy,north,32.7361,35.1902,כחצי שעה,2,2252,false,false,false,false,free,,,
tiuli-9,אמות המים לקיסריה - פארק אלונה ועוד אטרקציות באזור,"מסלול טיול בטבע פתוח, במרכז הארץ, באורך כ-10 ק""מ ברמת קושי קלה.",nature,easy,center,32.5547,35.0065,כ-3 שעות,10,849,false,false,false,false,free,,,
tiuli-34,אנדרטת גדוד 77 - עמק הבכא,"טיול בטבע פתוח בצפון הארץ, באורך של כ-3 ק""מ ברמת קושי בינונית.",nature,medium,north,33.1768,35.7969,כחצי שעה,3,2374,false,false,false,false,free,,,
lm-02b75f25,אתר ההנצחה לשיירת יחיעם,אתר ההנצחה לשיירת יחיעם — טיול / נקודת עניין באזור צפון,heritage,easy,north,32.99405,35.1356417,,0,0,true,false,false,false,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
tiuli-144,אתרים מוסלמים בירושלים,"מסלול טיול בטבע פתוח, בהרי ירושלים, באורך כ-3 ק""מ ברמת קושי קלה.",nature,easy,jerusalem,31.778,35.2293,כחצי שעה,3,483,false,false,false,false,free,,,
tiuli-27,אתרים מקודשים במערב הכנרת,"מסלול טיול בטבע פתוח, בצפון הארץ, באורך כ-2 ק""מ ברמת קושי קלה.",nature,easy,north,32.8446,35.5247,כחצי שעה,2,1947,false,false,false,false,free,,,
beer-abba,באר אבא,"באר אבן עגולה ועתיקה, מוקפת ירק ושדות פתוחים בין המושבות אלוני אבא ובית לחם הגלילית בעמק יזרעאל, עם מים צלולים הנובעים מהאדמה.",water,easy,north,32.7197222,35.1686111,עד חצי שעה,0.5,90,true,false,false,true,free,,0.5,https://www.maslulim-israel.co.il/tracks/%d7%91%d7%90%d7%a8-%d7%90%d7%91%d7%90-%d7%91%d7%90%d7%a8-%d7%9e%d7%99%d7%9d-%d7%a2%d7%92%d7%95%d7%9c%d7%94-%d7%95%d7%a0%d7%a1%d7%aa%d7%a8%d7%aa-%d7%91%d7%99%d7%9f-%d7%a9%d7%93%d7%95%d7%aa-%d7%a2/
lm-3235d4ba,באר צקלג שביער להב,באר צקלג שביער להב — יער / מסלול באזור דרום / נגב וערבה,nature,easy,south,31.38967,34.85325,,0,0,true,false,false,false,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
lm-dbf7b48c,באר רבובה,באר רבובה — באר / בור מים באזור נגב / באר שבע והר הנגב,nature,easy,south,31.256611,34.488218,,0,0,true,false,false,false,free,,,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
tiuli-19,באר שבע - אתרים מומלצים בבירת הנגב,"טיול בטבע פתוח בנגב ובדרום הארץ, באורך של כ-3 ק""מ ברמת קושי קלה.",nature,easy,south,31.2369,34.7926,כחצי שעה,3,1459,false,false,false,false,free,,,
beer-shem-tov,באר שם טוב,"באר עתיקה ומשוחזרת בשמורת שבע במרכז הארץ, מוקפת עצים - אתר-מים היסטורי ושקט לביקור קליל.",water,easy,center,31.5604725,34.9355394,כחצי שעה,0.5,68,true,false,false,true,free,,0.5,
lm-bf1b4b9f,בארות יצחק הישנה,בארות יצחק הישנה — טיול / נקודת עניין באזור דרום / נגב וערבה,heritage,easy,south,31.46086,34.50034,,0,0,true,false,false,false,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
tiuli-330,בדרך לנוף וזרימות נחלים: טיול 4X4 בגליל תחתון מזרחי,"מסלול טיול לאורך נחל ומקווי מים, בצפון הארץ, באורך כ-45 ק""מ ברמת קושי בינונית.",water,medium,north,32.5095714,35.4750001,כ-14 שעות,45,361,false,false,false,false,free,,,
tiuli-119,בורות לוץ,"יעד טיול בטבע פתוח בנגב ובדרום הארץ — מסלול באורך כ-10 ק""מ, רמת קושי בינונית.",nature,medium,south,30.5144,34.6104,כ-3 שעות,10,1825,false,false,false,false,free,,,
tiuli-285,במורד אלף מדרגות חיפה: ממרכז הכרמל למושבה הגרמנית,"מסלול טיול בטבע פתוח, בצפון הארץ, באורך כ-5 ק""מ ברמת קושי קלה.",nature,easy,north,32.8089888,34.9862247999999,כ-2 שעות,5,483,false,false,false,false,free,,,
tiuli-282,בנימינה: טיול במושבה של פעם,"מסלול טיול בטבע פתוח, בצפון הארץ, באורך כ-2 ק""מ ברמת קושי קלה.",nature,easy,north,32.520712,34.9504902,כחצי שעה,2,300,false,false,false,false,free,,,
tiuli-105,בעקבות אוצרות המקדש בנחל עכברה,"מסלול טיול לאורך נחל ומקווי מים, בצפון הארץ, באורך כ-10 ק""מ ברמת קושי בינונית.",water,medium,north,32.9389,35.4959,כ-3 שעות,10,971,false,false,false,false,free,,,
tiuli-109,בעקבות אירוס הגלבוע להר ברקן,"טיול במסלול הררי בצפון הארץ, באורך של כ-2 ק""מ ברמת קושי קלה.",mountains,easy,north,32.5115,35.4084,כחצי שעה,2,1215,false,false,false,false,free,,,
