name,search_query,region,region_raw,category,type_raw,source
אנדרטת חללי הקיבוצים,אנדרטת חללי הקיבוצים,north,צפון,heritage,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
אתר ההנצחה לשיירת יחיעם,אתר ההנצחה לשיירת יחיעם,north,צפון,heritage,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
בוסתני נחל חרוד,בוסתני נחל חרוד,north,צפון,water,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
בית צידה,בית צידה,north,צפון,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
דרך הטמפלרים,דרך הטמפלרים,north,צפון,water,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
דרך נוף הר תירען,דרך נוף הר תירען,north,צפון,mountains,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
דרך נוף הרי נפתלי,דרך נוף הרי נפתלי,north,צפון,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
דרך נוף יבנאל-מנחמיה,דרך נוף יבנאל-מנחמיה,north,צפון,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
דרך נוף יער חוף הכרמל,דרך נוף יער חוף הכרמל,north,צפון,water,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
דרך נוף יערות ציפורי,דרך נוף יערות ציפורי,north,צפון,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/2702/
דרך נוף מצפה עדי–מטולה,דרך נוף מצפה עדי–מטולה,north,צפון,viewpoints,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
האלה שבנחל מחניים,האלה שבנחל מחניים,north,צפון,water,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
האלה של רבי טרפון בקדיתא,האלה של רבי טרפון בקדיתא,north,צפון,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
הר הקפיצה: טיול בשביל הבשורה,הר הקפיצה: טיול בשביל הבשורה,north,צפון,mountains,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
חורבת דנעילה בגליל המערבי,חורבת דנעילה בגליל המערבי,north,צפון,archaeology,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
חורשת גדעון בנחל חרוד,חורשת גדעון בנחל חרוד,north,צפון,water,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
הגן הבוטני באגמון החולה קק״ל,הגן הבוטני באגמון החולה קק״ל,north,צפון,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
הר ברניקי,הר ברניקי,north,צפון,mountains,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
חוף אכזיב,חוף אכזיב,north,צפון,water,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
יער גבעת המורה,יער גבעת המורה,north,צפון,mountains,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
יער לביא,יער לביא,north,צפון,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
אל ח'ירבת בית עטאב,אל ח'ירבת בית עטאב,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
אנדרטת ההנצחה והזיכרון ליוצאי לוב,אנדרטת ההנצחה והזיכרון ליוצאי לוב,center,מרכז / ירושלים והשפלה,heritage,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
אתר הזיכרון ליהדות זגלמביה ביער בן שמן,אתר הזיכרון ליהדות זגלמביה ביער בן שמן,center,מרכז / ירושלים והשפלה,heritage,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
גן האבן בדרך החשמל שביער בן שמן,גן האבן בדרך החשמל שביער בן שמן,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
דרך בורמה,דרך בורמה,center,מרכז / ירושלים והשפלה,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
דרך דיפנבייקר בפארק רבין,דרך דיפנבייקר בפארק רבין,center,מרכז / ירושלים והשפלה,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
דרך הפסלים ביער צרעה (יער הנשיא),דרך הפסלים ביער צרעה (יער הנשיא),center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
דרך נוף נחל שקמה,דרך נוף נחל שקמה,center,מרכז / ירושלים והשפלה,water,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
ההר העגול ביער אלונה,ההר העגול ביער אלונה,center,מרכז / ירושלים והשפלה,mountains,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
חורבת בורגין בפארק עדולם-צרפת,חורבת בורגין בפארק עדולם-צרפת,center,מרכז / ירושלים והשפלה,archaeology,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
חורבת חנות,חורבת חנות,center,מרכז / ירושלים והשפלה,archaeology,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
חורבת עתרי,חורבת עתרי,center,מרכז / ירושלים והשפלה,archaeology,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער המגינים,יער המגינים,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער חדרה,יער חדרה,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
נופי נחל נטוף שביער בן שמן,נופי נחל נטוף שביער בן שמן,center,מרכז / ירושלים והשפלה,water,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
